SECCION,COORD.,COLONIA,Lista Hombres,Lista Mujeres,% MUJERES LISTA NOMINAL,"LISTA
NOMINAL",% DE CONTRIBUCIÓN DE LISTA NOMINAL- PESO ELECTORAL,"RENTABILIDAD - PESO ELECTORAL
(ALTA: las que representan el 60% de contribución
MEDIA: 20%-40%
BAJA: 0%-20%)",Cantidad de casillas 2024,Cantidad de ubicaciones  Casillas,Total de la Lista Nominal 2024,Total de votos 2024,% Participación ciudadana 20212,Hector Castillo,%HC,Jesus Nava,%JN,Roberto Espinoza (Morena),%RE,Verde3,PT4,PES5,VIDA,Candidaturas NO registradas6,Votos Nulos7,Ganar,ganador1,VotosGanador,Diferencia
2061,CZ9 BRENDA YANETH ESPINOZA RIVAS,TRABAJADORES,682,669,0.495188749,1376,0.00583125,Baja,2,1,1376,780,0.566860465,266,0.341025641,232,0.297435897,171,0.219230769,29,21,6,6,0,49,PERDIDO,Hector Castillo,266,0.043589744
2056,CZ19 JUAN LUIS GUERRA MARES,"AURORA
INDUSTRIAS DEL PONIENTE",662,683,0.507806691,1353,0.00573378,Baja,2,1,1353,913,0.674796748,349,0.382256298,417,0.456736035,77,0.084337349,15,7,15,5,0,28,GANADO,Jesus Nava,417,0.074479737
2076,CZ22 BLANCA ISABEL CERECERO OVIEDO,LA HUASTECA,658,677,0.507116105,1329,0.005632072,Baja,2,1,1329,733,0.551542513,219,0.298772169,293,0.399727149,140,0.190995907,17,9,9,3,1,42,GANADO,Jesus Nava,293,0.10095498
2021,CZ5 JUAN JESUS NAVARRO LOPEZ,MARTIRES DE CANANEA,635,695,0.522556391,1326,0.005619358,Baja,2,2,1326,765,0.576923077,285,0.37254902,245,0.320261438,156,0.203921569,16,23,3,5,0,32,PERDIDO,Hector Castillo,285,0.052287582
2054,CZ20 MARIA DEL SOCORRO ESCAMILLA ALANIS,"CENTRO DE SANTA CATARINA
SANTA MARTHA 2DO SECTOR",654,666,0.504545455,1331,0.005640548,Baja,2,1,1331,751,0.564237415,219,0.291611185,320,0.426098535,118,0.157123835,14,13,27,6,1,33,GANADO,Jesus Nava,320,0.13448735
2969,CZ17 HECTOR REYNALDO REYNA LARA,"CORDILLERAS DEL VIRREY
LAS NUBES
LUIS ECHEVERRIA
PUERTA DEL SOL
PUERTA DEL SOL
RDCIAL DE LA SIERRA
RDCIAL DE LA SIERRA SECTOR LOMAS",627,639,0.504739336,1293,0.00547951,Baja,2,1,1293,821,0.634957463,278,0.338611449,341,0.415347138,132,0.160779537,17,16,5,6,0,26,GANADO,Jesus Nava,341,0.076735689
2059,CZ9 BRENDA YANETH ESPINOZA RIVAS,TRABAJADORES,631,607,0.490306947,1252,0.005305759,Baja,2,1,1252,678,0.541533546,279,0.411504425,177,0.261061947,142,0.209439528,25,20,1,5,0,29,PERDIDO,Hector Castillo,279,0.150442478
2067,CZ21 ALEJANDRO MEDRANO GARCIA,"AURORITA
LAS SIERRAS
SANTA CATALINA
SANTA JULIA",604,611,0.502880658,1235,0.005233716,Baja,2,1,1235,884,0.715789474,282,0.319004525,418,0.472850679,100,0.113122172,16,14,24,6,0,24,GANADO,Jesus Nava,418,0.153846154
2798,CZ19 JUAN LUIS GUERRA MARES,"EL FRUTAL
EL MOLINO
NORBERTO AGUIRRE PALANCARES
PIO XII
SARABIA",606,603,0.498759305,1213,0.005140484,Baja,2,1,1213,657,0.541632317,188,0.286149163,297,0.452054795,109,0.165905632,13,12,3,8,0,27,GANADO,Jesus Nava,297,0.165905632
2055,CZ19 JUAN LUIS GUERRA MARES,"29 DE JULIO
ALBIA RESIDENCIAL
CENTRO DE SANTA CATARINA
INDUSTRIAS DEL PONIENTE
PRIVADA SAN MIGUEL LA HUASTECA
PRIVADA VISTAS A LA SIERRA",588,604,0.506711409,1212,0.005136246,Baja,2,1,1212,764,0.630363036,274,0.358638743,324,0.42408377,79,0.103403141,11,11,42,5,0,18,GANADO,Jesus Nava,324,0.065445027
